es_caro,superficie,dormitorios,banios,pisos,via_principal,habitacion_invitados,sotano,calefaccion_agua,aire_acondicionado,estacionamientos,zona_preferencial,estado_amueblado
caro,7420,4,2,3,si,no,no,no,si,2,si,amueblada
caro,8960,4,4,4,si,no,no,no,si,3,no,amueblada
caro,9960,3,2,2,si,no,si,no,no,2,si,semi_amueblado
caro,7500,4,2,2,si,no,si,no,si,3,si,amueblada
caro,7420,4,1,2,si,si,si,no,si,2,no,amueblada
caro,7500,3,3,1,si,no,si,no,si,2,si,semi_amueblado
caro,8580,4,3,4,si,no,no,no,si,2,si,semi_amueblado
caro,16200,5,3,2,si,no,no,no,no,0,no,sin_amoblar
caro,8100,4,1,2,si,si,si,no,si,2,si,amueblada
caro,5750,3,2,4,si,si,no,no,si,1,si,sin_amoblar
caro,13200,3,1,2,si,no,si,no,si,2,si,amueblada
caro,6000,4,3,2,si,si,si,si,no,2,no,semi_amueblado
caro,6550,4,2,2,si,no,no,no,si,1,si,semi_amueblado
caro,3500,4,2,2,si,no,no,si,no,2,no,amueblada
caro,4320,3,1,2,si,no,si,si,no,2,no,semi_amueblado
caro,7155,3,2,1,si,si,si,no,si,2,no,sin_amoblar
caro,8050,3,1,1,si,si,si,no,si,1,no,amueblada
caro,4560,3,2,2,si,si,si,no,si,,no,amueblada
caro,8800,3,2,2,si,no,no,no,si,2,no,amueblada
caro,6540,4,2,2,si,si,si,no,si,2,si,amueblada
caro,6000,3,2,4,si,si,si,no,si,0,si,semi_amueblado
caro,8875,3,1,1,si,no,no,no,no,1,no,semi_amueblado
caro,7950,5,2,2,si,no,si,si,no,2,no,sin_amoblar
caro,5500,4,2,2,si,no,si,no,si,1,si,semi_amueblado
caro,7475,3,2,4,si,no,no,no,si,2,no,sin_amoblar
caro,7000,3,1,4,si,no,no,no,si,2,no,semi_amueblado
caro,4880,4,2,2,si,no,no,no,si,1,si,amueblada
caro,5960,3,3,2,si,si,si,no,no,1,no,sin_amoblar
caro,6840,5,1,2,si,si,si,no,si,1,no,amueblada
caro,7000,3,2,4,si,no,no,no,si,2,no,amueblada
caro,7482,3,2,3,si,no,no,si,no,1,si,amueblada
caro,9000,4,2,4,si,no,no,no,si,2,no,amueblada
caro,6000,3,1,4,si,si,no,no,si,2,no,sin_amoblar
